Chapter ID,Book Name,Chapter,Text
10,Genesis,10,Now are generations sons Noah   namely   Shem Ham Japheth unto were sons born flood The sons Japheth Gomer Magog Madai Javan Tubal Meshech Tiras And sons Gomer Ashkenaz Riphath Togarmah And sons Javan Elishah Tarshish Kittim Dodanim Of were isles nations divided lands one tongue families nations And sons Ham Cush Mizraim Put Canaan And sons Cush Seba Havilah Sabtah Raamah Sabteca sons Raamah Sheba Dedan And Cush begat Nimrod began be mighty one earth He was mighty hunter Jehovah wherefore is said Nimrod mighty hunter Jehovah And beginning kingdom was Babel Erech Accad Calneh land Shinar Out land went forth Assyria builded Nineveh Rehoboth Ir Calah Resen Nineveh Calah same is great city  And Mizraim begat Ludim Anamim Lehabim Naphtuhim Pathrusim Casluhim whence went Caphtorim And Canaan begat Sidon first born Heth Jebusite Amorite Girgashite Hivite Arkite Sinite Arvadite Zemarite Hamathite afterward were families Canaanite spread abroad And border Canaanite was Sidon thou goest Gerar unto Gaza thou goest Sodom Gomorrah Admah Zeboiim Lasha These are sons Ham families tongues lands nations And Shem father children Eber elder brother Japheth also were children born The sons Shem Elam Asshur Arpachshad Lud Aram And sons Aram Uz Hul Gether Mash And Arpachshad begat Shelah Shelah begat Eber And Eber were born two sons name one was Peleg days was earth divided brother name was Joktan And Joktan begat Almodad Sheleph Hazarmaveth Jerah Hadoram Uzal Diklah Obal Abimael Sheba Ophir Havilah Jobab were sons Joktan And dwelling was Mesha thou goest Sephar mountain east These are sons Shem families tongues lands nations These are families sons Noah generations nations were nations divided earth flood 
11,Genesis,11,whole earth was one language one speech And came pass journeyed east found plain land Shinar dwelt said one Come let make brick burn thoroughly had brick stone slime had mortar And said Come let build city tower top   reach   unto heaven let make name lest be scattered abroad face whole earth And Jehovah came down see city tower children men builded And Jehovah said Behold are one people have one language is begin do now nothing be withholden purpose do Come let go there confound language not understand one speech So Jehovah scattered abroad thence face earth left building city Therefore was name called Babel Jehovah did confound language earth thence did Jehovah scatter abroad face earth These are generations Shem Shem was hundred years old begat Arpachshad two years flood Shem lived begat Arpachshad five hundred years begat sons daughters And Arpachshad lived five thirty years begat Shelah Arpachshad lived begat Shelah four hundred three years begat sons daughters And Shelah lived thirty years begat Eber Shelah lived begat Eber four hundred three years begat sons daughters And Eber lived four thirty years begat Peleg Eber lived begat Peleg four hundred thirty years begat sons daughters And Peleg lived thirty years begat Reu Peleg lived begat Reu two hundred nine years begat sons daughters And Reu lived two thirty years begat Serug Reu lived begat Serug two hundred seven years begat sons daughters And Serug lived thirty years begat Nahor Serug lived begat Nahor two hundred years begat sons daughters And Nahor lived nine twenty years begat Terah Nahor lived begat Terah hundred nineteen years begat sons daughters And Terah lived seventy years begat Abram Nahor Haran Now are generations Terah Terah begat Abram Nahor Haran Haran begat Lot And Haran died father Terah land nativity Ur Chaldees And Abram Nahor took wives name Abram wife was Sarai name Nahor wife Milcah daughter Haran father Milcah father Iscah And Sarai was barren had child And Terah took Abram son Lot son Haran son son Sarai daughter in law son Abram wife went forth Ur Chaldees go land Canaan came unto Haran dwelt there And days Terah were two hundred five years Terah died Haran 
12,Genesis,12,Now Jehovah said unto Abram Get thee thy country thy kindred thy father house land show thee make thee great nation bless thee make name great be thou blessing bless bless thee curseth thee curse thee families earth be blessed So Abram went Jehovah had spoken unto Lot went Abram was seventy five years old departed Haran And Abram took Sarai wife Lot brother son substance had gathered souls had gotten Haran went forth go land Canaan land Canaan came And Abram passed land place Shechem oak Moreh Canaanite was then land And Jehovah appeared unto Abram said Unto thy seed give land there builded altar unto Jehovah appeared unto him And removed thence mountain east Beth el pitched tent having Beth el west Ai east builded altar unto Jehovah called name Jehovah And Abram journeyed going still South And was famine land Abram went down Egypt sojourn there famine was sore land And came pass was come enter Egypt said unto Sarai wife Behold now know thou art fair woman look come pass see thee say is wife kill save thee pray thee thou art sister be well thy sake soul live thee And came pass Abram was come Egypt beheld woman was very fair And princes Pharaoh saw praised Pharaoh woman was taken Pharaoh house And dealt well Abram sake had sheep oxen he asses men servants maid servants she asses camels And Jehovah plagued Pharaoh house great plagues Sarai Abram wife And Pharaoh called Abram said is thou hast done didst thou not tell was thy wife saidst thou is sister took be wife now therefore behold thy wife take go thy way And Pharaoh gave men charge concerning brought way wife had 
13,Genesis,13,Abram went Egypt wife had Lot South And Abram was very rich cattle silver gold And went journeys South even Beth el place tent had been beginning Beth el Ai place altar had made there first Abram called name Jehovah And Lot also went Abram had flocks herds tents And land was not able bear dwell together substance was great not dwell was strife herdsmen Abram cattle herdsmen Lot cattle Canaanite Perizzite dwelt then land And Abram said unto Lot Let be strife pray thee thee herdsmen thy herdsmen are brethren Is not whole land thee separate thyself pray thee   thou wilt take left hand then go right   thou take   right hand then go left And Lot lifted eyes beheld Plain Jordan was well watered Jehovah destroyed Sodom Gomorrah garden Jehovah land Egypt thou goest Zoar So Lot chose Plain Jordan Lot journeyed east separated one other Abram dwelt land Canaan Lot dwelt cities Plain moved tent as far Sodom Now men Sodom were wicked sinners Jehovah Jehovah said unto Abram Lot was separated Lift up now thine eyes look place thou art northward southward eastward westward land thou seest thee give thy seed ever And make thy seed dust earth so man number dust earth then thy seed also be numbered Arise walk land length breadth unto thee give it And Abram moved tent came dwelt oaks Mamre are Hebron built altar unto Jehovah 
14,Genesis,14,came pass days Amraphel king Shinar Arioch king Ellasar Chedorlaomer king Elam Tidal king Goiim made war Bera king Sodom Birsha king Gomorrah Shinab king Admah Shemeber king Zeboiim king Bela same is Zoar  All joined together vale Siddim same is Salt Sea  Twelve years served Chedorlaomer thirteenth year rebelled And fourteenth year came Chedorlaomer kings were smote Rephaim Ashteroth karnaim Zuzim Ham Emim Shaveh kiriathaim Horites mount Seir unto Elparan is wilderness And returned came En mishpat same is Kadesh smote country Amalekites also Amorites dwelt Hazazon tamar And went king Sodom king Gomorrah king Admah king Zeboiim king Bela same is Zoar set battle array vale Siddim Chedorlaomer king Elam Tidal king Goiim Amraphel king Shinar Arioch king Ellasar four kings five Now vale Siddim was full slime pits kings Sodom Gomorrah fled fell there remained fled mountain And took goods Sodom Gomorrah victuals went way And took Lot Abram brother son dwelt Sodom goods departed And there came one had escaped told Abram Hebrew now dwelt oaks Mamre Amorite brother Eshcol brother Aner were confederate Abram   Abram heard brother was taken captive led forth trained men born house three hundred eighteen pursued as far Dan And divided night servants smote pursued unto Hobah is left hand Damascus And brought goods also brought brother Lot goods women also people And king Sodom went meet return slaughter Chedorlaomer kings were vale Shaveh same is King Vale  And Melchizedek king Salem brought forth bread wine was priest God Most High And blessed said Blessed be Abram God Most High possessor heaven earth blessed be God Most High hath delivered thine enemies thy hand gave tenth king Sodom said unto Abram Give persons take goods thyself And Abram said king Sodom have lifted hand unto Jehovah God Most High possessor heaven earth not take thread shoe latchet aught is thine lest thou shouldest say have made Abram rich save only young men have eaten portion men went Aner Eshcol Mamre let take portion 
15,Genesis,15,things word Jehovah came unto Abram vision saying Fear not Abram am thy shield     thy exceeding great reward And Abram said O Lord Jehovah wilt thou give seeing go childless be possessor house is Eliezer Damascus Abram said Behold thou hast given seed lo one born house is mine heir And behold word Jehovah came unto saying man not be thine heir come forth thine own bowels be thine heir And brought forth abroad said Look now heaven number stars thou be able number said unto So thy seed believed Jehovah reckoned righteousness And said unto am Jehovah brought Ur Chaldees give thee land inherit it And said O Lord Jehovah know inherit said unto Take heifer three years old she goat three years old ram three years old turtle dove young pigeon And took divided midst laid half other birds divided not And birds prey came down carcasses Abram drove sun was going down deep sleep fell Abram lo horror great darkness fell upon him And said unto Abram Know surety thy seed be sojourners land is not theirs serve afflict four hundred years also nation serve judge afterward come great substance But thou shalt go thy fathers peace shalt be buried good old age And fourth generation come hither again iniquity Amorite is not yet full And came pass sun went down was dark behold smoking furnace flaming torch passed pieces In day Jehovah made covenant Abram saying Unto thy seed have given land river Egypt great river river Euphrates Kenite Kenizzite Kadmonite Hittite Perizzite Rephaim Amorite Canaanite Girgashite Jebusite 
16,Genesis,16,Now Sarai Abram wife bare children had handmaid Egyptian name was Hagar And Sarai said unto Abram Behold now Jehovah hath restrained bearing go pray thee unto handmaid be obtain children Abram hearkened voice Sarai And Sarai Abram wife took Hagar Egyptian handmaid Abram had dwelt ten years land Canaan gave Abram husband be wife And went unto Hagar conceived saw had conceived mistress was despised eyes And Sarai said unto Abram My wrong be upon thee gave handmaid thy bosom saw had conceived was despised eyes Jehovah judge thee But Abram said unto Sarai Behold thy maid is thy hand do her is good thine eyes Sarai dealt hardly fled face And angel Jehovah found fountain water wilderness fountain way Shur And said Hagar Sarai handmaid whence camest thou goest thou said am fleeing face mistress Sarai And angel Jehovah said Return thy mistress submit hands And angel Jehovah said greatly multiply thy seed not be numbered multitude And angel Jehovah said Behold thou art child shalt bear son thou shalt call name Ishmael Jehovah hath heard thy affliction And be     wild ass men hand   be   man man hand dwell brethren And called name Jehovah spake Thou art God seeth said Have even here looked seeth well was called Beer lahai roi behold is Kadesh Bered And Hagar bare Abram son Abram called name son Hagar bare Ishmael And Abram was fourscore six years old Hagar bare Ishmael Abram 
17,Genesis,17,Abram was ninety years old nine Jehovah appeared Abram said unto am God Almighty walk be thou perfect And make covenant thee multiply thee exceedingly And Abram fell face God talked saying behold covenant is thee thou shalt be father multitude nations Neither thy name more be called Abram thy name be Abraham father multitude nations have made thee And make thee exceeding fruitful make nations thee kings come thee And establish covenant thee thy seed thee generations everlasting covenant be God unto thee thy seed thee And give unto thee thy seed thee land thy sojournings land Canaan everlasting possession be God And God said unto Abraham thee thou shalt keep covenant thou thy seed thee generations This is covenant ye keep thy seed thee male be circumcised And be circumcised flesh foreskin be token covenant you And is eight days old be circumcised male generations is born house bought money foreigner is not thy seed He is born thy house is bought thy money needs be circumcised covenant be flesh everlasting covenant And uncircumcised male is not circumcised flesh foreskin soul be cut people hath broken covenant And God said unto Abraham Sarai thy wife thou shalt not call name Sarai Sarah name be And bless moreover give thee son yea bless be   mother   nations kings peoples be her Then Abraham fell face laughed said heart child be born is hundred years old Sarah is ninety years old bear Abraham said unto God Oh Ishmael live thee God said Nay Sarah thy wife bear son thou shalt call name Isaac establish covenant everlasting covenant seed   Ishmael have heard thee behold have blessed make fruitful multiply exceedingly twelve princes beget make great nation But covenant establish Isaac Sarah bear unto thee set time next year And left talking God went Abraham And Abraham took Ishmael son were born house were bought money male men Abraham house circumcised flesh foreskin selfsame day God had said unto him And Abraham was ninety years old nine was circumcised flesh foreskin And Ishmael son was thirteen years old was circumcised flesh foreskin In selfsame day was Abraham circumcised Ishmael son And men house born house bought money foreigner were circumcised 
18,Genesis,18,Jehovah appeared oaks Mamre sat tent door heat day lifted eyes looked lo three men stood saw ran meet tent door bowed earth said My lord now have found favor thy sight pass not away pray thee thy servant let now little water be fetched wash feet rest yourselves tree fetch morsel bread strengthen ye heart ye pass forasmuch ye are come servant said So do thou hast said And Abraham hastened tent unto Sarah said Make ready quickly three measures fine meal knead make cakes And Abraham ran herd fetched calf tender good gave servant hasted dress it And took butter milk calf had dressed set stood tree did eat And said unto Where is Sarah thy wife said Behold tent And said certainly return thee season cometh round Sarah thy wife have son Sarah heard tent door was him Now Abraham Sarah were old     well stricken age had ceased be Sarah manner women And Sarah laughed saying am waxed old have pleasure lord being old also Jehovah said unto Abraham Wherefore did Sarah laugh saying Shall surety child am old Is anything too hard Jehovah set time return unto thee season cometh round Sarah have son Then Sarah denied saying laughed not was afraid said Nay thou didst men rose thence looked Sodom Abraham went bring way And Jehovah said Shall hide Abraham do seeing Abraham surely become great mighty nation nations earth be blessed have known end command children household keep way Jehovah do righteousness justice end Jehovah bring Abraham hath spoken him And Jehovah said cry Sodom Gomorrah is great sin is very grievous go down now see have done altogether according cry is come not know And men turned thence went Sodom Abraham stood yet Jehovah And Abraham drew near said Wilt thou consume righteous wicked Peradventure are fifty righteous city wilt thou consume not spare place fifty righteous are therein be far thee do manner slay righteous wicked so righteous be wicked be far thee not Judge earth do right Jehovah said find Sodom fifty righteous city then spare place sake And Abraham answered said Behold now have taken speak Lord am dust ashes peradventure lack five fifty righteous wilt thou destroy city lack five said not destroy find forty five And spake yet again said Peradventure be forty there said not do forty sake And said Oh let not Lord be angry speak peradventure thirty be found there said not do find thirty there And said Behold now have taken speak Lord peradventure be twenty found there said not destroy twenty sake And said Oh let not Lord be angry speak yet once peradventure ten be found there said not destroy ten sake And Jehovah went way as soon had left communing Abraham Abraham returned place 
19,Genesis,19,two angels came Sodom even Lot sat gate Sodom Lot saw rose meet bowed face earth said Behold now lords turn aside pray servant house tarry night wash feet ye rise up early go way said Nay abide street urged greatly turned unto entered house made feast did bake unleavened bread did eat But lay down men city   even   men Sodom compassed house round young old people quarter called unto Lot said unto are men came thee night bring unto know them And Lot went door shut door him And said pray brethren do not so wickedly Behold now have two daughters have not known man let pray bring do ye is good eyes only men do nothing forasmuch are come shadow roof And said Stand back said one fellow came sojourn needs be judge now deal worse thee pressed sore man even Lot drew near break door But men put hand brought Lot house shut door And smote men were door house blindness small great wearied find door And men said unto Lot Hast thou here besides son in law thy sons thy daughters whomsoever thou hast city bring place destroy place cry is waxed great Jehovah Jehovah hath sent destroy it And Lot went spake unto sons in law married daughters said Up get place Jehovah destroy city seemed unto sons in law one mocked And morning arose then angels hastened Lot saying Arise take thy wife thy two daughters are here lest thou be consumed iniquity city But lingered men laid hold hand hand wife hand two daughters Jehovah being merciful brought forth set city And came pass had brought forth abroad said Escape thy life not thee stay thou Plain escape mountain lest thou be consumed And Lot said not so lord behold now thy servant hath found favor thy sight thou hast magnified thy lovingkindness thou hast showed saving life not escape mountain lest evil overtake die behold now city is flee unto is little one let escape thither is not little one soul live And said unto See have accepted thee concerning thing also not overthrow city thou hast spoken Haste thee escape thither not do anything till thou be come thither Therefore name city was called Zoar The sun was risen earth Lot came unto Zoar Then Jehovah rained Sodom Gomorrah brimstone fire Jehovah heaven overthrew cities Plain inhabitants cities grew ground But wife looked back became pillar salt And Abraham gat up early morning place had stood Jehovah looked Sodom Gomorrah land Plain beheld smoke land went up smoke furnace And came pass God destroyed cities Plain God remembered Abraham sent Lot midst overthrow overthrew cities Lot dwelt And Lot went Zoar dwelt mountain two daughters feared dwell Zoar dwelt cave two daughters And first born said younger father is old is not man earth come unto manner earth come let make father drink wine lie preserve seed father And made father drink wine night first born went lay father knew not lay down arose And came pass morrow first born said younger Behold lay yesternight father let make drink wine night also go thou lie preserve seed father And made father drink wine night also younger arose lay knew not lay down arose Thus were daughters Lot child father And first born bare son called name Moab same is father Moabites day And younger also bare son called name Ben ammi same is father children Ammon day 
20,Genesis,20,Abraham journeyed thence land South dwelt Kadesh Shur sojourned Gerar And Abraham said Sarah wife is sister Abimelech king Gerar sent took Sarah But God came Abimelech dream night said Behold thou art dead man woman thou hast taken is man wife Now Abimelech had not come said Lord wilt thou slay even righteous nation Said not is sister even said is brother integrity heart innocency hands have done this And God said unto dream Yea know integrity thy heart thou has done also withheld thee sinning therefore suffered not touch her Now therefore restore man wife is prophet pray thee thou shalt live thou restore not know thou thou shalt surely die thou are thine And Abimelech rose early morning called servants told things ears men were sore afraid Then Abimelech called Abraham said unto hast thou done unto wherein have sinned thee thou hast brought kingdom great sin thou hast done deeds not be done And Abimelech said unto Abraham sawest thou thou hast done thing Abraham said thought Surely fear God is not place slay wife sake And moreover is indeed sister daughter father not daughter mother became wife came pass God caused wander father house said is thy kindness thou shalt show place whither come say is brother And Abimelech took sheep oxen men servants women servants gave unto Abraham restored Sarah wife And Abimelech said Behold land is thee dwell pleaseth thee And unto Sarah said Behold have given brother thousand pieces silver behold is thee covering eyes are thee respect thou art righted And Abraham prayed unto God God healed Abimelech wife maid servants bare children For Jehovah had fast closed wombs house Abimelech Sarah Abraham wife 
